Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,36.610001,36.930000,36.270000,36.599998,35.352676,20196500
2017-01-04,36.709999,36.770000,36.340000,36.410000,35.169151,15915700
2017-01-05,36.450001,36.720001,36.310001,36.349998,35.111195,13986000
2017-01-06,36.590000,36.680000,36.189999,36.480000,35.236767,15114000
2017-01-09,36.480000,36.889999,36.480000,36.610001,35.362339,19449400
2017-01-10,36.549999,36.930000,36.529999,36.540001,35.294720,15918800
2017-01-11,36.509998,37.000000,36.509998,36.950001,35.690750,22398400
2017-01-12,36.830002,36.830002,36.320000,36.709999,35.458927,20391900
2017-01-13,36.709999,36.860001,36.619999,36.790001,35.536205,15072200
2017-01-17,36.669998,36.830002,36.590000,36.799999,35.545860,20163000
2017-01-18,36.889999,37.009998,36.610001,36.759998,35.507225,15382500
2017-01-19,36.509998,36.910000,36.509998,36.570000,35.323696,13654500
2017-01-20,36.759998,37.029999,36.580002,36.939999,35.681091,23950900
2017-01-23,37.070000,37.209999,36.549999,36.770000,35.516884,27752600
2017-01-24,36.840000,37.740002,36.810001,37.619999,36.337917,35140900
2017-01-25,37.869999,38.000000,37.520000,37.799999,36.511787,32276400
2017-01-26,37.820000,37.919998,37.419998,37.560001,36.279964,34144800
2017-01-27,38.000000,38.450001,37.810001,37.980000,36.685646,44368600
2017-01-30,37.740002,37.840000,37.330002,37.419998,36.144730,23954700
2017-01-31,37.220001,37.369999,36.639999,36.820000,35.565178,27059100
2017-02-01,36.820000,36.950001,36.020000,36.520000,35.275402,28380600
2017-02-02,36.259998,36.700001,36.200001,36.680000,35.429951,31916900
2017-02-03,36.689999,36.820000,36.450001,36.520000,35.527233,21038100
2017-02-06,36.509998,36.509998,36.150002,36.270000,35.284027,21427000
2017-02-07,36.450001,36.520000,36.240002,36.349998,35.361851,18581900
2017-02-08,36.340000,36.650002,36.139999,36.380001,35.391041,20807400
2017-02-09,36.500000,36.500000,35.400002,35.459999,34.496044,47802700
2017-02-10,35.259998,35.430000,34.840000,35.340000,34.379311,44106500
2017-02-13,35.570000,35.849998,35.340000,35.799999,34.826805,28180600
2017-02-14,35.840000,35.959999,35.529999,35.930000,34.953270,25725100
2017-02-15,35.980000,36.060001,35.669998,36.049999,35.070011,18452200
2017-02-16,36.180000,36.560001,36.099998,36.410000,35.420223,21317500
2017-02-17,36.320000,36.480000,36.099998,36.480000,35.488316,18909900
2017-02-21,36.529999,36.650002,36.330002,36.520000,35.527233,20556000
2017-02-22,36.340000,36.400002,35.790001,36.070000,35.089462,29904400
2017-02-23,36.240002,36.299999,35.900002,36.180000,35.196476,22775000
2017-02-24,36.139999,36.529999,35.950001,36.529999,35.536953,18617600
2017-02-27,36.419998,36.680000,36.270000,36.509998,35.517502,14065200
2017-02-28,36.419998,36.459999,36.000000,36.200001,35.215927,24977000
2017-03-01,35.849998,36.099998,35.439999,35.930000,34.953270,34085900
2017-03-02,35.930000,36.020000,35.650002,35.910000,34.933815,23602100
2017-03-03,35.939999,36.090000,35.669998,35.900002,34.924088,17538100
2017-03-06,35.790001,35.799999,35.419998,35.570000,34.603058,24416700
2017-03-07,35.540001,35.799999,35.389999,35.799999,34.826805,23434900
2017-03-08,35.669998,35.900002,35.529999,35.619999,34.651699,20920100
2017-03-09,35.599998,35.939999,35.500000,35.820000,34.846264,23616800
2017-03-10,36.119999,36.299999,35.779999,35.910000,34.933815,25402300
2017-03-13,35.849998,36.040001,34.939999,35.160000,34.204201,53582900
2017-03-14,35.060001,35.230000,34.660000,35.180000,34.223660,28586900
2017-03-15,34.939999,35.169998,34.680000,35.099998,34.145832,27996100
2017-03-16,35.169998,35.360001,35.070000,35.139999,34.184742,19616100
2017-03-17,35.310001,35.330002,35.099998,35.270000,34.311214,30778900
2017-03-20,35.369999,35.630001,35.259998,35.430000,34.466862,17322300
2017-03-21,35.590000,35.599998,35.000000,35.040001,34.087463,22814500
2017-03-22,35.220001,35.459999,35.000000,35.369999,34.408489,19144500
2017-03-23,35.490002,35.490002,35.020000,35.270000,34.311214,20640400
2017-03-24,35.650002,35.730000,35.119999,35.160000,34.204201,22188000
2017-03-27,35.070000,35.500000,34.939999,35.389999,34.427952,16992200
2017-03-28,35.340000,35.709999,35.209999,35.599998,34.632236,18398100
2017-03-29,35.520000,35.700001,35.439999,35.570000,34.603058,17202600
2017-03-30,35.580002,35.889999,35.520000,35.750000,34.778164,16433000
2017-03-31,35.750000,36.250000,35.740002,36.070000,35.089462,21438400
2017-04-03,36.189999,36.740002,36.119999,36.160000,35.177017,32013600
2017-04-04,36.119999,36.380001,35.990002,36.279999,35.293755,18918000
2017-04-05,36.430000,36.759998,36.169998,36.220001,35.235390,22455500
2017-04-06,36.130001,36.279999,36.029999,36.029999,35.050549,20198200
2017-04-07,36.070000,36.320000,35.990002,36.029999,35.050549,15689500
2017-04-10,36.020000,36.090000,35.610001,35.799999,34.826805,19973700
2017-04-11,35.770000,35.790001,35.209999,35.740002,34.768436,22711800
2017-04-12,35.869999,36.009998,35.500000,35.630001,34.661427,19289800
2017-04-13,35.549999,35.759998,35.250000,35.250000,34.291756,15764000
2017-04-17,35.439999,35.590000,35.330002,35.480000,34.515503,12560700
2017-04-18,35.430000,35.810001,35.299999,35.770000,34.797623,12321100
2017-04-19,35.970001,36.220001,35.889999,35.910000,34.933815,16594600
2017-04-20,36.180000,36.270000,35.860001,36.180000,35.196476,22968300
2017-04-21,36.200001,36.419998,35.849998,36.320000,35.332672,20390500
2017-04-24,36.669998,36.849998,36.459999,36.750000,35.750984,26305800
2017-04-25,36.770000,37.000000,36.660000,36.869999,35.867714,22066800
2017-04-26,36.779999,37.230000,36.779999,36.930000,35.926086,27241000
2017-04-27,36.869999,37.500000,36.779999,37.430000,36.412491,39890000
2017-04-28,36.099998,36.490002,35.880001,36.150002,35.167294,56617100
2017-05-01,36.110001,36.400002,35.939999,36.310001,35.322941,24825600
2017-05-02,36.369999,37.029999,36.349998,36.970001,35.965000,35813000
2017-05-03,36.720001,37.169998,36.619999,36.980000,36.242355,22040300
2017-05-04,36.990002,37.110001,36.639999,36.849998,36.114941,16437100
2017-05-05,36.860001,36.930000,36.500000,36.820000,36.085545,18119200
2017-05-08,36.730000,36.849998,36.480000,36.540001,35.811134,17660200
2017-05-09,36.480000,36.750000,36.279999,36.369999,35.644520,17819100
2017-05-10,36.270000,36.380001,35.930000,36.009998,35.291698,25133800
2017-05-11,35.910000,36.000000,35.450001,35.689999,34.978081,21508900
2017-05-12,35.720001,35.740002,35.400002,35.529999,34.821278,19730800
2017-05-15,35.529999,35.720001,35.419998,35.630001,34.919281,22120100
2017-05-16,35.750000,35.889999,35.419998,35.820000,35.105492,22291800
2017-05-17,35.669998,35.990002,35.020000,35.040001,34.341053,26670200
2017-05-18,35.189999,35.470001,35.080002,35.220001,34.517460,17171900
2017-05-19,35.150002,35.549999,35.130001,35.400002,34.693874,18340100
2017-05-22,35.480000,36.110001,35.380001,35.770000,35.056492,14638100
2017-05-23,35.869999,35.990002,35.560001,35.860001,35.144695,16903700
2017-05-24,35.980000,36.180000,35.889999,36.119999,35.399506,20640600
2017-05-25,36.119999,36.389999,36.060001,36.259998,35.536716,13148500
2017-05-26,36.259998,36.330002,36.130001,36.259998,35.536716,11145500
2017-05-30,36.270000,36.439999,36.090000,36.180000,35.458309,13026900
2017-05-31,36.310001,36.380001,35.869999,36.110001,35.389709,17741900
2017-06-01,36.119999,36.130001,35.799999,36.119999,35.399506,17510900
2017-06-02,36.270000,36.330002,36.000000,36.320000,35.595520,19127400
2017-06-05,36.299999,36.500000,36.200001,36.340000,35.615120,11685700
2017-06-06,36.160000,36.450001,35.980000,36.130001,35.409309,18420900
2017-06-07,36.130001,36.570000,36.099998,36.259998,35.536716,17192000
2017-06-08,36.340000,36.529999,36.160000,36.480000,35.752327,16783400
2017-06-09,36.500000,36.560001,35.310001,35.709999,34.997684,33322100
2017-06-12,35.590000,36.009998,35.410000,35.730000,35.017284,28488300
2017-06-13,35.680000,35.950001,35.529999,35.880001,35.164295,20588200
2017-06-14,35.990002,36.049999,35.220001,35.529999,34.821278,19149000
2017-06-15,35.209999,35.480000,35.139999,35.310001,34.605663,20410000
2017-06-16,35.279999,35.330002,35.009998,35.209999,34.507660,30762800
2017-06-19,35.610001,35.610001,35.320000,35.509998,34.801674,21583800
2017-06-20,35.450001,35.450001,34.840000,34.860001,34.164642,21536500
2017-06-21,34.330002,34.599998,34.090000,34.580002,33.890228,27138500
2017-06-22,34.560001,34.630001,34.290001,34.360001,33.674614,24602900
2017-06-23,34.209999,34.549999,34.099998,34.189999,33.508007,29260900
2017-06-26,34.259998,34.509998,34.029999,34.070000,33.390400,18854800
2017-06-27,34.000000,34.150002,33.650002,33.650002,32.978783,27078900
2017-06-28,33.770000,34.240002,33.740002,34.200001,33.517803,25940100
2017-06-29,33.919998,34.099998,33.340000,33.540001,32.870975,25215700
2017-06-30,33.869999,33.930000,33.529999,33.740002,33.066986,24432000
2017-07-03,33.509998,34.029999,33.430000,33.459999,32.792568,12676900
2017-07-05,33.520000,34.430000,33.490002,34.340000,33.655014,30010800
2017-07-06,34.119999,34.290001,33.560001,33.630001,32.959179,20733200
2017-07-07,33.700001,34.119999,33.700001,33.880001,33.204189,18304500
2017-07-10,33.250000,33.740002,33.230000,33.650002,32.978783,29918400
2017-07-11,33.639999,33.930000,33.430000,33.919998,33.243389,25737500
2017-07-12,34.279999,34.389999,33.939999,34.250000,33.566811,23768300
2017-07-13,34.330002,34.400002,34.119999,34.240002,33.557007,15046200
2017-07-14,34.480000,34.709999,34.270000,34.680000,33.988235,16316400
2017-07-17,34.740002,34.740002,34.360001,34.470001,33.782425,21044400
2017-07-18,34.430000,34.580002,34.250000,34.529999,33.841225,14362800
2017-07-19,34.680000,34.680000,34.459999,34.560001,33.870628,17036200
2017-07-20,34.540001,34.840000,34.480000,34.750000,34.056835,17506200
2017-07-21,34.540001,34.820000,34.400002,34.730000,34.037231,22245000
2017-07-24,34.730000,34.799999,34.380001,34.500000,33.811821,16146300
2017-07-25,34.549999,34.740002,34.400002,34.669998,33.978428,18096700
2017-07-26,34.700001,34.970001,34.590000,34.750000,34.056835,15499300
2017-07-27,34.779999,35.250000,34.669998,34.970001,34.272446,43062800
2017-07-28,35.130001,35.860001,35.000000,35.310001,34.605663,36291500
2017-07-31,35.470001,35.740002,35.320000,35.470001,34.762478,27057000
2017-08-01,35.660000,36.430000,35.570000,36.349998,35.624920,38710200
2017-08-02,36.330002,36.669998,36.060001,36.639999,35.909134,35004300
2017-08-03,36.549999,36.590000,36.150002,36.490002,36.030586,26611300
2017-08-04,36.450001,36.560001,36.099998,36.299999,35.842979,20520300
2017-08-07,36.389999,36.549999,36.220001,36.430000,35.971344,18169300
2017-08-08,36.369999,36.700001,36.299999,36.410000,35.951595,22819900
2017-08-09,36.279999,36.660000,36.020000,36.590000,36.129330,22796800
2017-08-10,36.400002,36.560001,36.110001,36.139999,35.684994,22693300
2017-08-11,36.259998,36.400002,35.790001,35.869999,35.418392,19275100
2017-08-14,36.119999,36.470001,36.080002,36.340000,35.882477,18094200
2017-08-15,36.299999,36.320000,35.820000,36.000000,35.546757,21706600
